name,location,cuisines,estimated_cost_for_two,rating
Jalsa,banashankari,"chinese, mughlai, north indian",800.0,4.1
Spice Elephant,banashankari,"chinese, north indian, thai",800.0,4.1
San Churro Cafe,banashankari,"cafe, italian, mexican",800.0,3.8
Addhuri Udupi Bhojana,banashankari,"north indian, south indian",300.0,3.7
Grand Village,basavanagudi,"north indian, rajasthani",600.0,3.8
Timepass Dinner,basavanagudi,north indian,600.0,3.8
Rosewood International Hotel - Bar & Restaurant,mysore road,"andhra, chinese, north indian, south indian",800.0,3.6
Onesta,banashankari,"cafe, italian, pizza",600.0,4.6
Penthouse Cafe,banashankari,"cafe, continental, italian",700.0,4.0
Smacznego,banashankari,"beverages, cafe, italian, mexican, momos",550.0,4.2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,banashankari,cafe,500.0,4.1
Cafe Shuffle,banashankari,"cafe, continental, italian",600.0,4.2
The Coffee Shack,banashankari,"cafe, chinese, continental, italian",500.0,4.2
Caf-Eleven,banashankari,"cafe, continental",450.0,4.0
Cafe Vivacity,banashankari,cafe,650.0,3.8
Catch-up-ino,banashankari,"cafe, chinese, continental, fast food, momos",800.0,3.9
Kirthi's Biryani,banashankari,"cafe, chinese, italian",700.0,3.8
T3H Cafe,banashankari,"american, cafe, italian",300.0,3.9
360 Atoms Restaurant And Cafe,banashankari,"cafe, chinese, continental, italian",400.0,3.1
The Vintage Cafe,banashankari,"cafe, french, north indian",400.0,3.0
Woodee Pizza,banashankari,"beverages, cafe, fast food, pizza",500.0,3.7
Cafe Coffee Day,banashankari,"cafe, fast food",900.0,3.6
My Tea House,banashankari,"cafe, european, fast food, italian",600.0,3.6
Hide Out Cafe,banashankari,cafe,300.0,3.7
CAFE NOVA,banashankari,"bakery, cafe",600.0,3.2
Coffee Tindi,banashankari,"cafe, south indian",200.0,3.8
Sea Green Cafe,banashankari,"beverages, cafe, fast food",500.0,3.3
Cuppa,banashankari,"cafe, fast food",550.0,3.3
Srinathji's Cafe,basavanagudi,"cafe, chinese, fast food, north indian",550.0,3.8
Redberrys,basavanagudi,"cafe, italian",600.0,4.0
Foodiction,banashankari,"burger, chinese, fast food, north indian",500.0,2.8
Sweet Truth,banashankari,"bakery, desserts",500.0,3.9
Ovenstory Pizza,banashankari,pizza,750.0,3.9
Faasos,banashankari,"biryani, fast food, north indian",500.0,4.2
Behrouz Biryani,banashankari,biryani,650.0,3.9
Fast And Fresh,banashankari,"chinese, fast food, north indian",400.0,2.8
Szechuan Dragon,banashankari,"chinese, momos, thai",600.0,4.2
Empire Restaurant,jayanagar,"chinese, mughlai, north indian, south indian",750.0,4.4
Maruthi Davangere Benne Dosa,banashankari,south indian,150.0,4.0
Chaatimes,basavanagudi,"fast food, street food",200.0,3.8
Havyaka Mess,banashankari,south indian,300.0,3.9
McDonald's,banashankari,"burger, fast food",500.0,3.9
Domino's Pizza,banashankari,"fast food, pizza",800.0,3.9
Hotboxit,banashankari,"continental, italian, north indian",400.0,3.8
Kitchen Garden,kumaraswamy layout,"chinese, north indian",300.0,3.6
Recipe,kumaraswamy layout,"biryani, chinese, north indian, rolls",450.0,4.0
Beijing Bites,rajarajeshwari nagar,"chinese, thai",850.0,3.7
Tasty Bytes,kumaraswamy layout,"chinese, momos, north indian, rolls",300.0,3.1
Petoo,banashankari,north indian,450.0,3.7
Shree Cool Point,vijay nagar,"beverages, fast food, street food",150.0,4.1
Corner House Ice Cream,banashankari,"desserts, ice cream",400.0,4.3
Biryanis And More,jayanagar,"andhra, biryani, chinese, north indian, south indian",750.0,4.0
Roving Feast,banashankari,"chinese, continental, fast food, italian, momos",450.0,4.0
FreshMenu,banashankari,"american, biryani, burger, chinese, continental, healthy food, north indian, salad",450.0,3.9
Banashankari Donne Biriyani,banashankari,"biryani, fast food",300.0,3.8
Wamama,banashankari,"asian, chinese, indonesian, japanese, korean, momos, thai",800.0,4.2
Five Star Chicken,banashankari,"burger, fast food",200.0,3.6
XO Belgian Waffle,banashankari,"beverages, desserts",400.0,3.7
Peppy Peppers,banashankari,"italian, mexican, north indian",800.0,4.2
Goa 0 Km,kumaraswamy layout,"biryani, chinese, goan, north indian, seafood",800.0,3.6
Chinese Kitchen,basavanagudi,chinese,150.0,3.8
1947,banashankari,"chinese, north indian",850.0,4.0
Cake of the Day,banashankari,bakery,150.0,3.7
Kabab Magic,basavanagudi,"chinese, fast food, kebab, north indian",400.0,4.1
Namma Brahmin's Idli,jayanagar,south indian,100.0,3.6
Gustoes Beer House,banashankari,"chinese, continental, italian, mexican, north indian, steak",1200.0,4.1
Sugar Rush,banashankari,"bakery, desserts",300.0,3.8
Burger King,basavanagudi,"beverages, burger, fast food",600.0,3.2
The Good Bowl,banashankari,"biryani, italian, north indian",500.0,3.6
The Biryani Cafe,banashankari,"biryani, chinese, kebab",300.0,4.1
Spicy Tandoor,banashankari,north indian,150.0,
LSD Cafe,banashankari,"chinese, continental, italian, north indian",700.0,2.9
Rolls On Wheels,banashankari,"fast food, momos, rolls",300.0,3.6
Om Sri Vinayaka Chats,banashankari,"fast food, street food",500.0,
Sri Guru Kottureshwara Davangere Benne Dosa,basavanagudi,south indian,150.0,4.1
Devanna Dum Biriyani Centre,banashankari,"biryani, south indian",300.0,3.6
Kolbeh,banashankari,fast food,500.0,3.7
Upahar Sagar,banashankari,"chinese, north indian, south indian",350.0,3.8
Kadalu Sea Food Restaurant,vijay nagar,"andhra, biryani, chinese, kebab, north indian, seafood",500.0,3.8
Frozen Bottle,banashankari,"beverages, desserts, ice cream",400.0,4.2
Parimala Sweets,banashankari,"mithai, street food",200.0,3.5
Vaishali Deluxe,banashankari,"chinese, north indian",700.0,3.8
Chill Out,banashankari,"chinese, south indian",100.0,
The Big O Bakes,banashankari,"bakery, desserts",300.0,4.0
Meghana Foods,jayanagar,"biryani, chinese, north indian",600.0,4.4
Krishna Sagar,banashankari,north indian,200.0,3.5
Dessert Rose,banashankari,desserts,500.0,3.5
Chickpet Donne Biryani House,banashankari,biryani,250.0,3.7
Me And My Cake,banashankari,"bakery, desserts",500.0,
Sunsadm,banashankari,south indian,400.0,
Annapooraneshwari Mess,banashankari,south indian,200.0,
Thanco's Natural Ice Creams,banashankari,ice cream,300.0,3.2
Nandhini Deluxe,banashankari,north indian,600.0,2.6
Vi Ra's Bar and Restaurant,banashankari,"chinese, north indian, south indian",800.0,3.3
Kaggis,banashankari,"bakery, fast food",250.0,3.8
Ayda Persian Kitchen,banashankari,"iranian, north indian",950.0,3.7
Chatar Patar,banashankari,"fast food, street food",300.0,3.7
Polar Bear,basavanagudi,"beverages, desserts, ice cream, sandwich",400.0,3.8
Kidambi's Kitchen,banashankari,south indian,300.0,3.5
Mane Thindi,banashankari,south indian,200.0,3.7
Kotian Karavali Restaurant,banashankari,"biryani, south indian",300.0,3.5
Floured-Baked With Love,banashankari,bakery,400.0,3.8
Cakes & Slices,banashankari,"bakery, desserts",300.0,3.5
Spice 9,banashankari,"biryani, chinese, fast food, north indian",300.0,3.4
Coffee Shopee,banashankari,beverages,250.0,
Naveen Kabab & Biriyani Mane,banashankari,biryani,300.0,3.2
Katriguppe Donne Biryani,banashankari,north indian,300.0,3.2
